#Pos	Phred	A->A	A->C	A->G	A->T	A->N	C->A	C->C	C->G	C->T	C->N	G->A	G->C	G->G	G->T	G->N	T->A	T->C	T->G	T->T	T->N
9	38	184632	1521	2540	2165	0	2270	87447	1311	1947	0	2962	1126	110796	1331	0	3383	1964	1982	116749	0
9	39	1756990	21729	27357	31946	0	21155	1210825	13828	27580	0	26971	14545	1181388	20381	0	32277	28968	21121	1768826	0
10	2	1	1	1	1	19	1	1	1	1	15	1	1	1	1	11	1	1	1	1	26
10	5	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	2	1	3	14	0
10	6	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	3	2	0
10	7	2	1	1	1	0	1	2	1	1	0	1	1	1	1	0	1	1	1	2	0
10	8	78	7	43	6	0	5	58	15	5	0	5	2	84	6	0	14	7	50	171	0
10	9	1	1	1	2	0	1	2	1	1	0	1	1	2	1	0	1	1	1	5	0
10	10	956	44	140	31	0	58	749	42	23	0	60	33	606	56	0	116	83	124	1132	0
10	11	428	10	28	42	0	23	197	13	29	0	26	11	114	54	0	28	17	17	779	0
10	12	3	1	1	1	0	1	1	1	1	0	1	1	3	1	0	1	1	1	4	0
10	14	3	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0
10	15	54	1	2	11	0	2	36	1	7	0	8	1	79	22	0	1	1	7	348	0
10	16	250	7	27	4	0	7	179	6	5	0	6	1	253	6	0	10	4	25	116	0
10	17	895	10	15	42	0	13	533	10	50	0	14	8	466	92	0	17	22	10	2848	0
10	18	876	13	26	10	0	15	612	9	12	0	29	22	558	11	0	17	39	25	439	0
10	19	1037	14	29	35	0	22	463	10	24	0	21	5	439	19	0	35	31	17	1104	0
10	20	16	1	1	1	0	1	4	2	2	0	3	1	12	4	0	2	1	1	36	0
10	21	138	2	10	4	0	5	96	7	4	0	10	7	233	10	0	3	4	11	153	0
10	22	130	2	10	3	0	4	82	2	2	0	5	5	210	7	0	9	2	5	127	0
10	23	1689	31	46	25	0	19	1021	15	25	0	31	12	1215	17	0	33	32	29	1248	0
10	24	31	1	4	2	0	1	9	1	2	0	3	1	28	4	0	2	1	1	32	0
10	25	3742	43	59	89	0	37	2252	27	67	0	63	34	2308	94	0	76	55	44	4529	0
10	26	2000	16	44	14	0	29	1290	24	14	0	35	18	1479	15	0	30	44	27	920	0
10	27	7134	77	115	201	0	77	3997	57	134	0	106	49	4564	193	0	168	123	82	10489	0
10	28	1724	13	24	51	0	20	1083	12	39	0	32	14	1150	53	0	27	22	16	2894	0
10	29	4902	38	83	87	0	65	2539	43	63	0	87	26	3022	45	0	89	63	55	3554	0
10	30	18606	195	274	307	0	219	10876	134	256	0	296	115	11774	219	0	350	245	231	17030	0
10	31	838	13	45	27	0	8	691	25	29	0	25	8	1567	55	0	17	10	20	1980	0
10	32	24394	222	444	483	0	266	13968	225	436	0	384	179	17997	476	0	438	316	300	29751	0
10	33	35756	319	454	524	0	383	19694	219	464	0	557	214	20800	355	0	641	452	379	29365	0
10	34	12716	128	182	496	0	132	8008	98	415	0	227	92	8948	552	0	217	187	157	29446	0
10	35	108474	1105	1625	1854	0	1203	62681	844	1708	0	1759	792	72215	1456	0	1940	1465	1320	108947	0
10	36	58	1	2	3	0	1	88	1	1	0	1	2	4	5	0	3	1	1	105	0
10	37	209320	2107	3100	4041	0	2375	119170	1525	3573	0	3440	1431	137438	3514	0	3822	2730	2375	243351	0
10	38	186431	1532	2519	2160	0	2183	89610	1318	2034	0	3083	1239	111480	1292	0	3400	1971	2010	118252	0
10	39	1751569	22120	26686	31970	0	21074	1218201	14055	27935	0	26851	14513	1164139	20082	0	31500	29099	20776	1761970	0
11	5	1	1	1	1	0	1	1	1	2	0	1	1	1	2	0	2	1	3	6	0
11	6	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0
11	7	1	1	1	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	2	0
11	8	66	6	33	6	0	2	51	19	5	0	4	5	79	8	0	6	15	54	173	0
11	9	1	1	1	1	0	1	2	1	1	0	1	1	1	2	0	1	1	1	7	0
11	10	924	59	106	50	0	62	645	58	38	0	63	17	496	32	0	118	92	137	1151	0
11	11	379	14	15	49	0	40	174	8	29	0	28	3	124	27	0	60	17	22	782	0
11	12	3	1	1	1	0	1	1	1	1	0	1	1	3	1	0	1	1	2	5	0
11	14	2	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
11	15	68	1	12	5	0	3	44	7	9	0	2	2	71	15	0	1	4	9	342	0
11	16	248	4	34	5	0	8	169	8	8	0	8	8	289	1	0	9	11	11	147	0
11	17	821	18	39	52	0	18	534	17	54	0	23	6	469	59	0	19	15	45	2937	0
11	18	818	17	35	16	0	11	584	13	17	0	29	14	578	13	0	26	27	26	466	0
11	19	1030	12	18	30	0	19	496	6	28	0	18	8	388	18	0	37	23	13	1060	0
11	20	20	2	2	1	0	1	3	2	1	0	2	1	12	3	0	1	1	1	33	0
11	21	126	7	5	2	0	3	73	5	8	0	6	3	244	9	0	6	3	6	138	0
11	22	140	1	14	5	0	2	73	4	4	0	8	2	216	10	0	4	3	12	114	0
11	23	1721	21	45	25	0	23	1031	17	23	0	39	16	1221	21	0	37	23	29	1226	0
11	24	30	1	2	2	0	2	14	2	3	0	4	2	27	3	0	5	3	1	43	0
11	25	3701	46	70	93	0	52	2230	33	69	0	54	22	2317	75	0	65	66	43	4660	0
11	26	2026	27	47	23	0	24	1333	16	25	0	27	20	1492	20	0	35	29	25	913	0
11	27	8006	94	122	203	0	78	4611	63	166	0	142	48	5045	209	0	160	131	122	12736	0
